SGC,Name,Area Type,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
15000,Metro Vancouver,RD,2093125,2115651,2132984,2147959,2173374,2198235,2232067,2262062,2303653,2351205,2374605,2419002,2455243,2495792,2530741,2578830,2614764,2654226
15022,Vancouver,CY,571342,576321,581923,586747,592009,599510,604169,603943,610389,618219,619779,630890,639440,647727,652271,661200,666310,672963
